match_id,date,season,team1,team2,venue,city,toss_winner,toss_decision,chasing_team,defending_team,winner,toss_winner_won,chase_win,defend_win,pair
335982,2008-04-18,2007/08,Kolkata Knight Riders,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,0,0,1,Kolkata Knight Riders vs Royal Challengers Bengaluru
335983,2008-04-19,2007/08,Chennai Super Kings,Punjab Kings,Punjab Cricket Association Stadium,Chandigarh,Chennai Super Kings,bat,Punjab Kings,Chennai Super Kings,Chennai Super Kings,1,0,1,Chennai Super Kings vs Punjab Kings
335984,2008-04-19,2007/08,Delhi Capitals,Rajasthan Royals,Feroz Shah Kotla,Delhi,Rajasthan Royals,bat,Delhi Capitals,Rajasthan Royals,Delhi Capitals,0,1,0,Delhi Capitals vs Rajasthan Royals
335985,2008-04-20,2007/08,Mumbai Indians,Royal Challengers Bengaluru,Wankhede Stadium,Mumbai,Mumbai Indians,bat,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,0,1,0,Mumbai Indians vs Royal Challengers Bengaluru
335986,2008-04-20,2007/08,Deccan Chargers,Kolkata Knight Riders,Eden Gardens,Kolkata,Deccan Chargers,bat,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,0,1,0,Deccan Chargers vs Kolkata Knight Riders
335987,2008-04-21,2007/08,Punjab Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Punjab Kings,bat,Rajasthan Royals,Punjab Kings,Rajasthan Royals,0,1,0,Punjab Kings vs Rajasthan Royals
335988,2008-04-22,2007/08,Deccan Chargers,Delhi Capitals,Rajiv Gandhi International Stadium,Hyderabad,Deccan Chargers,bat,Delhi Capitals,Deccan Chargers,Delhi Capitals,0,1,0,Deccan Chargers vs Delhi Capitals
335989,2008-04-23,2007/08,Chennai Super Kings,Mumbai Indians,MA Chidambaram Stadium,Chennai,Mumbai Indians,field,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,0,1,Chennai Super Kings vs Mumbai Indians
335990,2008-04-24,2007/08,Deccan Chargers,Rajasthan Royals,Rajiv Gandhi International Stadium,Hyderabad,Rajasthan Royals,field,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,1,1,0,Deccan Chargers vs Rajasthan Royals
335991,2008-04-25,2007/08,Punjab Kings,Mumbai Indians,Punjab Cricket Association Stadium,Chandigarh,Mumbai Indians,field,Mumbai Indians,Punjab Kings,Punjab Kings,0,0,1,Mumbai Indians vs Punjab Kings
335992,2008-04-26,2007/08,Rajasthan Royals,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,Rajasthan Royals,field,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,1,1,0,Rajasthan Royals vs Royal Challengers Bengaluru
335993,2008-04-26,2007/08,Chennai Super Kings,Kolkata Knight Riders,MA Chidambaram Stadium,Chennai,Kolkata Knight Riders,bat,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,0,1,0,Chennai Super Kings vs Kolkata Knight Riders
335994,2008-04-27,2007/08,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,Deccan Chargers,field,Deccan Chargers,Mumbai Indians,Deccan Chargers,1,1,0,Deccan Chargers vs Mumbai Indians
335995,2008-04-27,2007/08,Delhi Capitals,Punjab Kings,Punjab Cricket Association Stadium,Chandigarh,Delhi Capitals,bat,Punjab Kings,Delhi Capitals,Punjab Kings,0,1,0,Delhi Capitals vs Punjab Kings
335996,2008-04-28,2007/08,Chennai Super Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,Chennai Super Kings,bat,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,1,0,1,Chennai Super Kings vs Royal Challengers Bengaluru
335997,2008-04-29,2007/08,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata,Kolkata Knight Riders,bat,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,0,1,0,Kolkata Knight Riders vs Mumbai Indians
335998,2008-04-30,2007/08,Delhi Capitals,Royal Challengers Bengaluru,Feroz Shah Kotla,Delhi,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,0,0,1,Delhi Capitals vs Royal Challengers Bengaluru
336000,2008-05-01,2007/08,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,bat,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,1,0,1,Kolkata Knight Riders vs Rajasthan Royals
335999,2008-05-01,2007/08,Deccan Chargers,Punjab Kings,Rajiv Gandhi International Stadium,Hyderabad,Punjab Kings,field,Punjab Kings,Deccan Chargers,Punjab Kings,1,1,0,Deccan Chargers vs Punjab Kings
336001,2008-05-02,2007/08,Chennai Super Kings,Delhi Capitals,MA Chidambaram Stadium,Chennai,Chennai Super Kings,bat,Delhi Capitals,Chennai Super Kings,Delhi Capitals,0,1,0,Chennai Super Kings vs Delhi Capitals
336034,2008-05-03,2007/08,Deccan Chargers,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,Deccan Chargers,field,Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,0,0,1,Deccan Chargers vs Royal Challengers Bengaluru
336003,2008-05-03,2007/08,Punjab Kings,Kolkata Knight Riders,Punjab Cricket Association Stadium,Chandigarh,Punjab Kings,bat,Kolkata Knight Riders,Punjab Kings,Punjab Kings,1,0,1,Kolkata Knight Riders vs Punjab Kings
336004,2008-05-04,2007/08,Delhi Capitals,Mumbai Indians,Dr DY Patil Sports Academy,Mumbai,Delhi Capitals,field,Delhi Capitals,Mumbai Indians,Mumbai Indians,0,0,1,Delhi Capitals vs Mumbai Indians
336005,2008-05-04,2007/08,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Jaipur,Chennai Super Kings,bat,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,0,1,0,Chennai Super Kings vs Rajasthan Royals
336006,2008-05-05,2007/08,Punjab Kings,Royal Challengers Bengaluru,M Chinnaswamy Stadium,Bangalore,Punjab Kings,field,Punjab Kings,Royal Challengers Bengaluru,Punjab Kings,1,1,0,Punjab Kings vs Royal Challengers Bengaluru
336007,2008-05-06,2007/08,Chennai Super Kings,Deccan Chargers,MA Chidambaram Stadium,Chennai,Deccan Chargers,field,Deccan Chargers,Chennai Super Kings,Deccan Chargers,1,1,0,Chennai Super Kings vs Deccan Chargers
336008,2008-05-07,2007/08,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai,Mumbai Indians,field,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,1,0,Mumbai Indians vs Rajasthan Royals
